team,group,elo,fifa_rank,form_points,attack_rating,defense_rating
Argentina,A,2078,1,13,91,88
Morocco,A,1820,12,10,79,82
Poland,A,1725,28,7,76,74
New Zealand,A,1510,103,8,62,65
France,B,2045,2,11,92,86
Japan,B,1795,18,12,80,78
Canada,B,1710,31,8,75,72
Ghana,B,1655,67,6,73,70
Brazil,C,2030,5,10,90,84
Senegal,C,1805,17,9,78,80
Serbia,C,1740,34,7,78,72
Qatar,C,1580,58,5,68,66
England,D,1995,4,12,89,85
United States,D,1775,22,9,78,75
Ecuador,D,1745,32,8,76,76
Saudi Arabia,D,1600,56,6,69,67
Spain,E,1988,3,11,88,86
Uruguay,E,1835,11,10,81,80
South Korea,E,1765,23,8,77,75
Tunisia,E,1640,52,6,70,72
Netherlands,F,1960,7,11,86,84
Mexico,F,1760,24,8,77,74
Cameroon,F,1665,49,7,72,71
Panama,F,1545,41,9,66,65
Portugal,G,1972,6,12,89,82
Colombia,G,1815,14,11,81,79
Australia,G,1715,25,9,74,73
Jamaica,G,1515,55,7,67,64
Belgium,H,1890,8,8,84,79
Croatia,H,1855,10,9,80,83
Nigeria,H,1695,44,7,74,71
Costa Rica,H,1540,54,6,65,68
Germany,I,1905,9,9,86,80
Switzerland,I,1785,19,8,78,79
Egypt,I,1675,36,9,73,73
Honduras,I,1495,78,5,63,64
Italy,J,1885,13,9,83,82
Denmark,J,1810,21,8,79,81
Chile,J,1660,42,6,72,70
Uzbekistan,J,1555,64,10,66,67
Austria,K,1825,16,10,80,79
Iran,K,1768,20,11,76,76
South Africa,K,1595,59,8,68,69
Bolivia,K,1480,83,5,62,63
Turkey,L,1790,26,9,79,73
Ukraine,L,1772,27,8,77,76
Algeria,L,1685,37,9,74,73
Iraq,L,1535,63,8,65,66
