team,group,elo,fifa_rank,form_points,attack_rating,defense_rating,goals_scored_per_match,goals_conceded_per_match,goal_difference_recent,win_rate_recent,draw_rate_recent
Argentina,A,2176,1,15,99.0,91.4,2.7,0.2,2.5,0.9,0.0
Morocco,A,1991,11,11,91.0,87.8,2.0,0.4,1.6,0.6,0.4
New Zealand,A,1734,57,4,71.2,60.8,0.9,1.9,-1.0,0.1,0.2
Poland,A,1779,47,7,85.6,71.6,1.7,1.3,0.4,0.5,0.3
Canada,B,1882,26,9,80.2,86.0,1.4,0.5,0.9,0.3,0.6
France,B,2135,3,12,99.0,77.0,2.6,1.0,1.6,0.8,0.1
Ghana,B,1676,77,4,74.8,71.6,1.1,1.3,-0.2,0.4,0.1
Japan,B,1999,10,13,82.0,80.6,1.5,0.8,0.7,0.6,0.3
Brazil,C,2042,6,10,96.4,73.4,2.3,1.2,1.1,0.5,0.2
Qatar,C,1578,109,2,64.0,66.2,0.5,1.6,-1.1,0.1,0.4
Senegal,C,1876,27,7,83.8,75.2,1.6,1.1,0.5,0.6,0.1
Serbia,C,1787,45,6,71.2,55.4,0.9,2.2,-1.3,0.4,0.0
Ecuador,D,1960,14,8,76.6,84.2,1.2,0.6,0.6,0.4,0.5
England,D,2106,4,10,99.0,87.8,2.6,0.4,2.2,0.8,0.1
Saudi Arabia,D,1714,63,5,74.8,71.6,1.1,1.3,-0.2,0.3,0.2
United States,D,1896,24,6,94.6,66.2,2.2,1.6,0.6,0.6,0.1
South Korea,E,1885,25,9,78.4,73.4,1.3,1.2,0.1,0.6,0.0
Spain,E,2151,2,9,99.0,87.8,2.5,0.4,2.1,0.6,0.4
Tunisia,E,1693,71,4,76.6,64.4,1.2,1.7,-0.5,0.3,0.3
Uruguay,E,1935,19,4,74.8,80.6,1.1,0.8,0.3,0.4,0.5
Cameroon,F,1713,64,9,73.0,82.4,1.0,0.7,0.3,0.5,0.2
Mexico,F,1983,13,15,87.4,91.4,1.8,0.2,1.6,0.8,0.2
Netherlands,F,2007,9,8,96.4,78.8,2.3,0.9,1.4,0.6,0.3
Panama,F,1779,47,7,85.6,66.2,1.7,1.6,0.1,0.4,0.3
Australia,G,1949,15,10,80.2,77.0,1.4,1.0,0.4,0.5,0.1
Colombia,G,2057,5,9,99.0,75.2,2.5,1.1,1.4,0.7,0.1
Jamaica,G,1656,86,6,71.2,80.6,0.9,0.8,0.1,0.4,0.2
Portugal,G,2012,8,11,94.6,77.0,2.2,1.0,1.2,0.6,0.3
Belgium,H,1944,16,11,99.0,82.4,3.2,0.7,2.5,0.6,0.4
Costa Rica,H,1725,59,2,74.8,60.8,1.1,1.9,-0.8,0.1,0.5
Croatia,H,1937,18,6,91.0,69.8,2.0,1.4,0.6,0.6,0.1
Nigeria,H,1847,34,8,87.4,82.4,1.8,0.7,1.1,0.5,0.4
Egypt,I,1802,40,8,78.4,82.4,1.3,0.7,0.6,0.4,0.4
Germany,I,2016,7,15,99.0,82.4,3.5,0.7,2.8,1.0,0.0
Honduras,I,1691,72,5,69.4,80.6,0.8,0.8,0.0,0.2,0.5
Switzerland,I,1938,17,9,91.0,77.0,2.0,1.0,1.0,0.4,0.5
Chile,J,1786,46,9,80.2,66.2,1.4,1.6,-0.2,0.5,0.1
Denmark,J,1916,21,8,98.2,77.0,2.4,1.0,1.4,0.5,0.4
Italy,J,1923,20,10,98.2,77.0,2.4,1.0,1.4,0.8,0.1
Uzbekistan,J,1796,42,4,76.6,73.4,1.2,1.2,0.0,0.3,0.3
Austria,K,1912,22,13,99.0,86.0,2.6,0.5,2.1,0.8,0.1
Bolivia,K,1707,66,6,67.6,57.2,0.7,2.1,-1.4,0.2,0.1
Iran,K,1876,27,10,89.2,82.4,1.9,0.7,1.2,0.5,0.3
South Africa,K,1659,84,5,73.0,73.4,1.0,1.2,-0.2,0.3,0.3
Algeria,L,1863,29,10,91.0,84.2,2.0,0.6,1.4,0.7,0.1
Iraq,L,1710,65,7,74.8,71.6,1.1,1.3,-0.2,0.5,0.1
Turkey,L,1898,23,12,94.6,71.6,2.2,1.3,0.9,0.7,0.1
Ukraine,L,1823,36,9,82.0,66.2,1.5,1.6,-0.1,0.5,0.1
